"1","Perfiles","<li><a href=""profile"">Perfiles</a></li>",,"profile","1","2","2017-05-05 16:59:47","0000-00-00 00:00:00"
"2","Usuarios","<li><a href=""users"">Usuarios</a></li>",,"users","1","3","2017-05-05 16:59:55","0000-00-00 00:00:00"
"3","Menús"," <li><a href=""menus"">Menús</a></li>",,"menus","2","5","2017-05-05 17:00:18","0000-00-00 00:00:00"
"4","Submenús"," <li><a href=""submenus"">Submenús</a></li>",,"submenus","2","6","2017-05-18 13:19:53","0000-00-00 00:00:00"
"5","Acciones"," <li><a href=""acciones"">Acciones</a></li>",,"acciones","2","7","2017-05-23 14:01:11","0000-00-00 00:00:00"
